<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.86,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,13.08 ± 1.54 / 40.34 ± 0.99,34.54 ± 2.37 / 30.30 ± 1.95,0.46 ± 2.99 / 49.32 ± 1.61,49.95 ± 2.49 / 32.75 ± 1.74,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.86,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,30.46 ± 3.33 / 50.87 ± 2.22,16.68 ± 5.52 / 18.16 ± 4.58,1.24 ± 2.26 / 47.27 ± 1.99,42.37 ± 3.50 / 29.27 ± 3.45,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,3.86,7615616512.0,152064.0,131072.0,✓,✗,(✓),✓,24.51 ± 2.46 / 40.86 ± 2.48,33.64 ± 1.59 / 24.65 ± 0.89,-0.36 ± 1.42 / 38.77 ± 1.73,37.42 ± 0.83 / 22.47 ± 1.02,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.91,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,25.07 ± 3.63 / 43.92 ± 4.75,19.76 ± 8.11 / 19.23 ± 6.36,1.34 ± 1.55 / 42.06 ± 3.14,41.55 ± 1.47 / 30.01 ± 1.21,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-2b-it'>google/gemma-2b-it</a>,📝,3.92,2506172416.0,256000.0,8192.0,✗,✗,(✓),✓,26.08 ± 2.83 / 35.97 ± 3.93,32.28 ± 2.16 / 27.62 ± 1.57,-1.03 ± 1.46 / 42.64 ± 3.71,35.48 ± 2.68 / 19.43 ± 2.81,15.8.2,15.8.2,15.8.2,15.8.2
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,3.95,2061162016.0,128000.0,?,✓,✗,(✓),✓,33.00 ± 5.86 / 40.43 ± 5.52,32.64 ± 2.83 / 29.69 ± 2.80,1.60 ± 1.36 / 38.55 ± 3.87,18.10 ± 1.25 / 0.00 ± 0.00,15.9.2,15.9.2,15.9.2,15.9.2
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.97,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,37.07 ± 5.24 / 54.77 ± 5.42,35.11 ± 1.28 / 30.59 ± 0.77,-0.31 ± 0.90 / 33.37 ± 0.28,12.39 ± 0.72 / 0.02 ± 0.02,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.97,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,35.88 ± 2.71 / 51.57 ± 3.17,28.15 ± 1.54 / 22.93 ± 0.77,4.55 ± 1.46 / 50.26 ± 1.61,13.52 ± 0.21 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.99,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,29.04 ± 2.99 / 42.23 ± 3.51,28.96 ± 2.09 / 21.07 ± 2.00,2.79 ± 1.65 / 46.85 ± 2.96,20.26 ± 1.91 / 7.05 ± 1.93,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base</a>,🧠,3.99,1384956928.0,49152.0,4096.0,✓,✗,(✓),✗,19.69 ± 5.80 / 34.51 ± 3.05,18.56 ± 6.11 / 18.01 ± 5.34,1.21 ± 1.39 / 47.30 ± 1.73,46.83 ± 1.60 / 34.95 ± 2.07,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.04,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,23.88 ± 4.35 / 37.18 ± 5.29,24.94 ± 3.37 / 24.10 ± 3.34,2.31 ± 1.27 / 45.98 ± 3.22,26.75 ± 2.19 / 18.80 ± 1.90,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2</a>,📝,4.04,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,3.54 ± 2.23 / 17.37 ± 0.80,56.62 ± 2.30 / 42.62 ± 2.48,0.64 ± 1.41 / 35.75 ± 2.56,20.14 ± 2.26 / 0.03 ± 0.02,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,4.07,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,15.38 ± 2.81 / 40.26 ± 1.79,18.48 ± 2.06 / 18.04 ± 1.31,5.28 ± 2.41 / 50.90 ± 1.26,36.49 ± 2.44 / 24.04 ± 1.94,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano</a>,🧠,4.10,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,22.16 ± 5.74 / 39.71 ± 5.92,13.80 ± 6.74 / 17.18 ± 6.41,-0.03 ± 1.77 / 38.47 ± 1.86,36.44 ± 2.74 / 24.18 ± 2.74,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/croissantllm/CroissantLLMBase'>croissantllm/CroissantLLMBase</a>,🧠,4.10,?,32000.0,2048.0,✓,✗,(✓),✗,9.77 ± 4.09 / 21.47 ± 2.81,27.81 ± 5.96 / 23.90 ± 5.47,1.66 ± 2.06 / 39.48 ± 2.82,31.76 ± 1.31 / 21.92 ± 1.18,15.8.2,15.8.2,15.8.2,15.8.2
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,4.11,3836021760.0,200064.0,131072.0,✓,✗,(✓),✓,14.54 ± 5.56 / 34.65 ± 7.08,42.72 ± 1.84 / 29.80 ± 1.79,4.43 ± 1.82 / 45.84 ± 4.60,9.22 ± 0.73 / 0.00 ± 0.00,15.9.2,15.9.2,15.9.2,15.9.2
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.12,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,29.78 ± 1.88 / 42.27 ± 2.09,25.98 ± 0.99 / 23.47 ± 1.00,3.85 ± 1.17 / 49.83 ± 1.63,13.80 ± 0.46 / 0.57 ± 0.52,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,4.13,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-0.36 ± 2.31 / 26.36 ± 1.29,51.17 ± 2.67 / 41.74 ± 2.29,7.46 ± 2.33 / 46.21 ± 1.49,12.81 ± 1.22 / 2.42 ± 0.51,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,4.13,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,1.63 ± 1.72 / 17.18 ± 0.49,67.43 ± 1.60 / 47.35 ± 1.94,1.86 ± 1.90 / 33.70 ± 0.68,0.89 ± 0.03 / 0.00 ± 0.00,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.14,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,13.24 ± 4.20 / 33.73 ± 5.09,33.13 ± 4.49 / 31.28 ± 3.97,1.08 ± 0.71 / 39.20 ± 3.93,24.97 ± 1.38 / 16.09 ± 1.80,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat</a>,📝,4.18,619570176.0,151936.0,32768.0,✗,✗,(✓),✓,0.55 ± 0.72 / 16.64 ± 0.34,31.82 ± 2.67 / 31.77 ± 2.37,0.00 ± 0.00 / 33.36 ± 0.27,40.64 ± 0.52 / 28.75 ± 1.11,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,4.19,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,10.30 ± 4.59 / 27.95 ± 4.02,9.06 ± 5.78 / 16.12 ± 2.78,0.02 ± 1.29 / 36.55 ± 3.36,50.88 ± 1.21 / 31.97 ± 1.88,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/HPLT/hplt2c_spa_checkpoints'>HPLT/hplt2c_spa_checkpoints</a>,🧠,4.19,?,262272.0,2048.0,✓,✗,(✓),✗,27.52 ± 4.12 / 43.52 ± 2.88,4.74 ± 5.01 / 3.97 ± 4.22,1.71 ± 2.33 / 38.17 ± 1.99,25.59 ± 0.81 / 16.55 ± 1.10,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mii-llm/nesso-0.4B-agentic'>mii-llm/nesso-0.4B-agentic (val)</a>,📝,4.22,560898240.0,128262.0,4096.0,✓,✗,(✓),✗,16.45 ± 2.63 / 28.91 ± 2.03,6.94 ± 2.91 / 6.58 ± 2.29,-0.44 ± 1.18 / 35.48 ± 1.55,41.99 ± 1.07 / 27.95 ± 1.28,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.28,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,16.29 ± 4.94 / 31.81 ± 5.24,17.24 ± 6.36 / 15.21 ± 5.59,0.07 ± 1.74 / 36.96 ± 4.12,25.66 ± 2.00 / 16.64 ± 3.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.29,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,15.18 ± 2.89 / 33.90 ± 3.23,29.59 ± 3.57 / 24.58 ± 1.95,1.91 ± 1.85 / 45.28 ± 4.52,8.57 ± 0.93 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico</a>,🧠,4.32,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,5.91 ± 4.97 / 25.49 ± 4.69,27.00 ± 4.79 / 26.27 ± 4.40,1.81 ± 1.92 / 42.82 ± 3.94,17.73 ± 1.47 / 10.96 ± 1.57,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/HPLT/hplt2c_ita_checkpoints'>HPLT/hplt2c_ita_checkpoints</a>,🧠,4.34,?,262272.0,2048.0,✓,✗,(✓),✗,18.10 ± 5.43 / 33.71 ± 7.17,5.18 ± 4.27 / 4.64 ± 3.86,2.25 ± 1.12 / 41.74 ± 3.34,20.37 ± 1.96 / 10.68 ± 1.86,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.34,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,7.97 ± 2.36 / 27.80 ± 2.54,19.58 ± 1.84 / 19.29 ± 1.88,-0.33 ± 1.35 / 35.25 ± 1.23,32.02 ± 0.70 / 19.70 ± 1.08,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,4.35,1777088000.0,151936.0,131072.0,✓,✗,(✓),✓,19.57 ± 2.10 / 41.26 ± 1.55,14.85 ± 1.55 / 13.84 ± 1.32,0.47 ± 1.31 / 33.49 ± 0.33,18.40 ± 1.15 / 9.57 ± 1.35,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.37,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,0.26 ± 0.49 / 16.63 ± 0.29,28.52 ± 2.11 / 28.17 ± 1.31,-0.15 ± 0.65 / 38.91 ± 3.95,25.03 ± 1.32 / 16.11 ± 1.02,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,4.40,?,103424.0,131072.0,✓,✗,(✓),✗,2.84 ± 1.96 / 28.36 ± 1.65,31.63 ± 1.63 / 28.65 ± 2.03,-0.15 ± 1.33 / 33.75 ± 0.60,16.25 ± 3.96 / 7.96 ± 2.82,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/croissantllm/CroissantLLMChat-v0.1'>croissantllm/CroissantLLMChat-v0.1</a>,📝,4.42,1345431552.0,32002.0,2048.0,✗,✗,(✓),✗,3.94 ± 2.00 / 19.79 ± 2.00,24.05 ± 7.66 / 23.43 ± 5.58,-0.17 ± 1.78 / 42.36 ± 3.34,20.31 ± 2.45 / 8.94 ± 2.05,15.8.2,15.8.2,15.8.2,15.8.2
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,4.45,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,0.00 ± 0.00 / 16.59 ± 0.31,27.83 ± 3.73 / 25.13 ± 3.32,1.40 ± 1.63 / 39.01 ± 3.59,18.01 ± 0.78 / 9.23 ± 1.30,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/HPLT/hplt2c_por_checkpoints'>HPLT/hplt2c_por_checkpoints</a>,🧠,4.46,?,262272.0,2048.0,✓,✗,(✓),✗,7.26 ± 4.82 / 22.91 ± 5.73,19.23 ± 2.40 / 22.98 ± 2.01,-0.88 ± 1.24 / 40.36 ± 3.33,21.77 ± 1.30 / 15.12 ± 1.05,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,4.47,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,0.00 ± 0.00 / 16.92 ± 0.39,28.17 ± 4.33 / 26.93 ± 2.76,5.26 ± 1.08 / 46.53 ± 3.15,10.58 ± 1.14 / 0.01 ± 0.02,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.52,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,3.77 ± 3.12 / 21.29 ± 4.06,28.19 ± 2.97 / 26.91 ± 2.71,-1.11 ± 1.11 / 34.07 ± 1.22,9.29 ± 0.31 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,4.53,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,17.51 ± 2.99 / 32.29 ± 2.46,11.98 ± 9.41 / 12.22 ± 8.36,0.36 ± 1.45 / 38.67 ± 4.22,6.76 ± 1.27 / 3.96 ± 1.44,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.55,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,15.41 ± 3.53 / 32.44 ± 3.20,10.09 ± 6.17 / 9.69 ± 5.28,-0.15 ± 1.35 / 38.78 ± 4.24,6.72 ± 0.18 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.55,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.83 ± 2.32 / 21.27 ± 3.94,24.70 ± 1.22 / 22.57 ± 1.23,-0.24 ± 1.24 / 38.60 ± 4.23,9.68 ± 1.77 / 5.91 ± 1.94,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,4.56,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,3.27 ± 3.97 / 22.04 ± 3.06,31.71 ± 1.76 / 29.23 ± 1.27,0.00 ± 0.00 / 33.30 ± 0.27,1.40 ± 0.35 / 0.00 ± 0.00,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B</a>,📝,4.60,619570176.0,151936.0,32768.0,✓,✗,(✓),✓,-0.25 ± 1.74 / 22.51 ± 1.67,23.89 ± 2.21 / 21.73 ± 1.98,0.69 ± 1.91 / 40.32 ± 4.35,9.44 ± 0.22 / 0.03 ± 0.02,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/mii-llm/zagreus-0.4B-ita'>mii-llm/zagreus-0.4B-ita (val)</a>,🧠,4.63,437760960.0,128256.0,4096.0,✓,✗,(✓),✗,-0.72 ± 0.72 / 17.41 ± 0.32,0.00 ± 0.00 / 0.00 ± 0.00,3.36 ± 1.88 / 44.59 ± 1.80,29.80 ± 1.03 / 18.65 ± 0.87,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct</a>,📝,4.63,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,6.35 ± 2.74 / 19.00 ± 1.53,19.04 ± 2.61 / 19.48 ± 2.60,-0.19 ± 1.38 / 36.03 ± 2.95,5.35 ± 0.48 / 0.00 ± 0.00,15.4.1,15.4.2,15.4.2,15.4.2
<a href='https://hf.co/HPLT/hplt2c_fra_checkpoints'>HPLT/hplt2c_fra_checkpoints</a>,🧠,4.64,?,262272.0,2048.0,✓,✗,(✓),✗,7.11 ± 3.99 / 25.34 ± 3.48,0.01 ± 0.01 / 0.00 ± 0.01,1.08 ± 1.41 / 44.89 ± 3.80,21.01 ± 1.08 / 13.99 ± 1.34,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
fresh-xlm-roberta-base,🔍,4.64,278885778.0,250002.0,512.0,✓,✗,✗,✓,13.35 ± 4.67 / 33.80 ± 6.77,7.75 ± 2.17 / 7.03 ± 2.07,0.43 ± 1.48 / 40.69 ± 4.52,1.12 ± 1.02 / 0.09 ± 0.09,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.66,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,2.08 ± 2.16 / 21.49 ± 2.56,19.70 ± 4.52 / 19.18 ± 3.39,0.87 ± 1.55 / 37.06 ± 4.03,5.31 ± 0.31 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,4.74,134516160.0,49154.0,8192.0,✓,✗,(✓),✗,-0.21 ± 0.26 / 16.66 ± 0.50,17.92 ± 2.62 / 15.92 ± 2.83,0.09 ± 0.17 / 33.34 ± 0.28,4.54 ± 1.07 / 0.43 ± 0.28,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,4.75,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,-0.69 ± 0.92 / 17.68 ± 2.19,19.27 ± 2.36 / 19.86 ± 2.31,-0.60 ± 1.35 / 36.49 ± 3.38,3.87 ± 0.35 / 0.00 ± 0.00,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.75,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,1.62 ± 1.95 / 20.00 ± 2.82,11.68 ± 3.31 / 10.61 ± 2.48,0.33 ± 1.49 / 38.60 ± 2.93,5.79 ± 0.30 / 0.00 ± 0.00,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,4.75,811778816.0,50257.0,1024.0,✓,✗,(✓),✗,-1.14 ± 3.08 / 21.26 ± 2.54,17.87 ± 4.73 / 17.20 ± 3.53,0.24 ± 2.02 / 44.19 ± 3.02,1.98 ± 0.59 / 0.63 ± 0.29,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.77,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,4.05 ± 2.18 / 20.90 ± 2.03,6.34 ± 1.14 / 4.81 ± 0.81,1.88 ± 1.54 / 34.61 ± 0.92,1.28 ± 0.09 / 0.00 ± 0.00,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,4.79,379988992.0,50257.0,1024.0,✓,✗,(✓),✗,0.80 ± 2.74 / 22.56 ± 2.78,13.14 ± 6.42 / 16.88 ± 4.54,0.34 ± 2.09 / 40.00 ± 4.67,1.62 ± 0.62 / 0.64 ± 0.39,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/openai-community/gpt2'>openai-community/gpt2</a>,🧠,4.80,137022720.0,50257.0,1024.0,✓,✗,(✓),✗,0.57 ± 2.45 / 19.85 ± 2.46,12.40 ± 4.51 / 13.88 ± 3.88,1.07 ± 1.68 / 39.00 ± 4.20,1.04 ± 0.46 / 0.45 ± 0.22,15.4.1,15.4.1,15.4.1,15.4.1
fresh-electra-small,🔍,4.81,13738755.0,32000.0,128.0,✓,✗,✗,✓,7.48 ± 6.97 / 27.15 ± 9.37,5.85 ± 1.53 / 5.23 ± 1.38,0.19 ± 0.38 / 33.91 ± 1.09,0.00 ± 0.00 / 0.00 ± 0.00,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,4.85,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,-0.70 ± 1.06 / 16.57 ± 0.32,8.30 ± 6.95 / 7.37 ± 6.19,-0.46 ± 1.06 / 33.80 ± 0.52,5.77 ± 1.31 / 3.50 ± 1.14,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,4.87,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,6.56 ± 2.90 / 24.89 ± 2.96,2.55 ± 3.79 / 3.80 ± 3.48,-1.02 ± 2.17 / 39.94 ± 3.37,2.20 ± 1.06 / 1.05 ± 0.75,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,4.88,4624642.0,32000.0,512.0,✓,✗,(✓),✗,2.14 ± 2.93 / 20.24 ± 3.26,0.00 ± 0.00 / 0.00 ± 0.00,-0.27 ± 1.54 / 38.24 ± 3.79,4.96 ± 0.45 / 0.38 ± 0.22,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/alea-institute/kl3m-003-3.7b'>alea-institute/kl3m-003-3.7b</a>,🧠,4.91,3691382784.0,32768.0,4096.0,✓,✗,(✓),✗,3.67 ± 2.94 / 25.89 ± 4.91,0.01 ± 0.02 / 0.01 ± 0.02,0.00 ± 0.00 / 33.30 ± 0.27,1.42 ± 0.80 / 0.05 ± 0.05,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.8.0
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,4.92,359431168.0,128256.0,32768.0,✗,✗,(✓),✓,3.38 ± 2.35 / 22.87 ± 3.54,0.48 ± 0.63 / 1.09 ± 0.73,0.00 ± 0.00 / 33.30 ± 0.27,0.39 ± 0.12 / 0.00 ± 0.00,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
